disc,year,key,words,B1_weak_n,B1_weak_per10k,B2_mid_n,B2_mid_per10k,B3_strong_n,B3_strong_per10k,ep_hedge_n,ep_hedge_per10k
bds,2014,bds_XBLYZVYX,7543,3,3.98,23,30.49,13,17.23,26,34.47
bds,2014,bds_JGBI8VJA,4179,5,11.96,10,23.93,13,31.11,20,47.86
bds,2014,bds_B3PB3RLX,7031,4,5.69,13,18.49,31,44.09,33,46.94
bds,2014,bds_3YV5JU79,10540,5,4.74,16,15.18,19,18.03,74,70.21
bds,2015,bds_Z8ZEPDXX,6376,2,3.14,1,1.57,12,18.82,30,47.05
bds,2016,bds_N5KRXALW,7796,3,3.85,4,5.13,25,32.07,55,70.55
bds,2016,bds_8IY4KCQ2,5256,4,7.61,13,24.73,14,26.64,14,26.64
bds,2018,bds_9WY45KWS,15612,8,5.12,10,6.41,48,30.75,45,28.82
bds,2018,bds_4SHW4CI4,11522,9,7.81,8,6.94,16,13.89,107,92.87
bds,2020,bds_BMZLZYJW,4052,0,0.0,0,0.0,3,7.4,20,49.36
bds,,bds_CYVARX5J,7483,5,6.68,26,34.75,5,6.68,56,74.84
bds,,bds_AMFXN6GE,6531,2,3.06,13,19.91,6,9.19,17,26.03
bds,,bds_BDV88Z4B,8808,1,1.14,8,9.08,5,5.68,51,57.9
bds,,bds_SGPAXEGT,12486,3,2.4,15,12.01,16,12.81,60,48.05
bds,,bds_6IL3UF5H,10185,1,0.98,10,9.82,9,8.84,36,35.35
bds,,bds_A3UQJSMQ,5012,0,0.0,3,5.99,2,3.99,11,21.95
bds,,bds_IPLK47TL,7254,1,1.38,9,12.41,16,22.06,46,63.41
bds,,bds_BVQLS73P,5677,0,0.0,1,1.76,11,19.38,45,79.27
bds,,bds_YJVML8QJ,8340,8,9.59,7,8.39,30,35.97,22,26.38
bds,,bds_9LSE4VJC,9425,5,5.31,4,4.24,12,12.73,70,74.27
bds,,bds_LMG4FAAX,7666,6,7.83,13,16.96,20,26.09,59,76.96
bds,,bds_CLHBYC32,8184,3,3.67,12,14.66,12,14.66,25,30.55
bds,,bds_VIAJ32GV,7394,3,4.06,5,6.76,20,27.05,31,41.93
bds,,bds_M9L9FNHM,7064,7,9.91,3,4.25,12,16.99,54,76.44
bds,,bds_ITPD69PE,7509,0,0.0,9,11.99,21,27.97,44,58.6
bds,,bds_LKKQ7E7F,7186,1,1.39,8,11.13,7,9.74,28,38.96
bds,,bds_7QK4U83G,5747,2,3.48,5,8.7,10,17.4,35,60.9
dourish,,J5QUS8KG,1608,1,6.22,6,37.31,0,0.0,17,105.72
dourish,,GR939LTP,8297,4,4.82,13,15.67,14,16.87,29,34.95
dourish,,VXBKKSEC,6110,1,1.64,2,3.27,11,18.0,25,40.92
dourish,,YLTC44WV,15799,2,1.27,5,3.16,23,14.56,79,50.0
dourish,,GQY5FTNF,12630,3,2.38,7,5.54,22,17.42,126,99.76
dourish,,CCF9F7LY,7840,1,1.28,12,15.31,13,16.58,61,77.81
