show,show_name,show_cn,number,title_en,title_cn,date,tag,link,spotify_episode_id,spotify_url,spotify_matched_title,group
rih,The Rest Is History,其余皆为历史,173,Chairman Mao & the Cultural Revolution,毛泽东与文化大革命 ★首推,2022-04-07,中国史·革命,https://podcasts.apple.com/us/podcast/chairman-mao-the-cultural-revolution/id1537788786?i=1000556477944,0Ohm0CxZzjCPqugdOdNzMU,https://open.spotify.com/episode/0Ohm0CxZzjCPqugdOdNzMU,173. Chairman Mao & the Cultural Revolution,restis
rih,The Rest Is History,其余皆为历史,366,The Architect of Modern China,现代中国的建筑师（邓小平时代）,2023-09-06,中国史·改革,https://podcasts.apple.com/us/podcast/the-architect-of-modern-china/id1537788786?i=1000626979385,4uO1RSLKpJbRrHSfAG4ZBW,https://open.spotify.com/episode/4uO1RSLKpJbRrHSfAG4ZBW,366. The Architect of Modern China,restis
rih,The Rest Is History,其余皆为历史,444,The First Emperor of China,中国的第一位皇帝（秦始皇）,2024-04-28,中国史·秦,https://podcasts.apple.com/us/podcast/the-first-emperor-of-china/id1537788786?i=1000652959468,3x7qvW3Iy3zKjaFEoWrisc,https://open.spotify.com/episode/3x7qvW3Iy3zKjaFEoWrisc,444. The First Emperor of China ,restis
rih,The Rest Is History,其余皆为历史,20,China,中国（中华文明通史总纲）,2021-02-04,中国史·通史,SEARCH:20 China,2MEGSRfrarMmGAPoSolKsd,https://open.spotify.com/episode/2MEGSRfrarMmGAPoSolKsd,20. China,restis
rih,The Rest Is History,其余皆为历史,412,"Romans in Space: Star Wars, Dune and Beyond...",太空中的罗马人：星球大战、沙丘与更远,2024-01-25,历史×科幻,https://podcasts.apple.com/us/podcast/romans-in-space-star-wars-dune-and-beyond/id1537788786?i=1000642778501,4JwxMTlXm0BGu0tZiOzjqB,https://open.spotify.com/episode/4JwxMTlXm0BGu0tZiOzjqB,"412. Romans in Space: Star Wars, Dune and Beyond...",restis
rih,The Rest Is History,其余皆为历史,125,The CIA,中央情报局,2021-11-25,谍影·冷战,https://podcasts.apple.com/us/podcast/the-cia/id1537788786?i=1000543009453,6vECqgeZJm252NvEem3VKI,https://open.spotify.com/episode/6vECqgeZJm252NvEem3VKI,125. The CIA,restis
rih,The Rest Is History,其余皆为历史,92,Nuclear Weapons,核武器,2021-09-01,冷战·技术,https://podcasts.apple.com/us/podcast/nuclear-weapons/id1537788786?i=1000534042480,4dylC0SDfiwo5wws43h6v2,https://open.spotify.com/episode/4dylC0SDfiwo5wws43h6v2,92. Nuclear Weapons,restis
rih,The Rest Is History,其余皆为历史,160,The Fall of the Soviet Union,苏联解体（普京系列之一）,2022-03-08,冷战·俄国,https://podcasts.apple.com/us/podcast/the-fall-of-the-soviet-union/id1537788786?i=1000553246963,0pqOcPMVnmAzj6u4pzBuvs,https://open.spotify.com/episode/0pqOcPMVnmAzj6u4pzBuvs,160. The Fall of the Soviet Union,restis
rih,The Rest Is History,其余皆为历史,560,The Golden Age of Japan: Lady Murasaki and the Shining Prince,日本黄金时代：紫式部与光源氏,2025-04-27,日本·文学,https://podcasts.apple.com/us/podcast/the-golden-age-of-japan-lady-murasaki-and/id1537788786?i=1000704461473,5Ional8yBiATI8633ohWNx,https://open.spotify.com/episode/5Ional8yBiATI8633ohWNx,560. The Golden Age of Japan: Lady Murasaki and the Shining Prince (Part 1),restis
rih,The Rest Is History,其余皆为历史,—,"The Beatles: The Band that Changed the World, with Conan O'Brien (Part 1)",披头士：改变世界的乐队 × 柯南·奥布莱恩（上）,2025-12-03,音乐·文化,https://podcasts.apple.com/us/podcast/the-beatles-the-band-that-changed-the-world-with/id1537788786?i=1000739409015,0i6RjOCOitGFWvs5xdGrQ3,https://open.spotify.com/episode/0i6RjOCOitGFWvs5xdGrQ3,"The Beatles: The Band that Changed the World, with Conan O’Brien (Part 1)",restis
riclass,The Rest Is Classified,其余皆为机密,184,The Secret Spy Network: Kim Philby Threatens the Alliance (Ep 2),秘密间谍网：金·菲尔比威胁同盟（第 2 集）,2026-08-12,谍影·剑桥五杰,https://podcasts.apple.com/us/podcast/the-secret-spy-network-kim-philby-threatens-the/id1780384916?i=1000781231735,2OOm3xafDcbTw7reNPSaA6,https://open.spotify.com/episode/2OOm3xafDcbTw7reNPSaA6,184. The Secret Spy Network: Kim Philby Threatens the Alliance (Ep 2),restis
riclass,The Rest Is Classified,其余皆为机密,162,Argo: How the CIA Made a Movie That Never Existed (Ep 3),Argo：中情局如何拍了一部不存在的电影（第 3 集）,2026-05-31,谍影×电影,https://podcasts.apple.com/us/podcast/argo-how-the-cia-made-a-movie-that-never-existed-ep-3/id1780384916?i=1000769066301,1hRsfi32d72Gw6KdoQBjwp,https://open.spotify.com/episode/1hRsfi32d72Gw6KdoQBjwp,162. Argo: How the CIA Made a Movie That Never Existed (Ep 3),restis
rip,The Rest Is Politics,其余皆为政治,556,The US-China AI Arms Race and Badenoch vs. Rory's Centrism,中美 AI 军备竞赛 · Badenoch 对 Rory 的中间路线,2026-07-22,科技·地缘,https://podcasts.apple.com/us/podcast/the-us-china-ai-arms-race-and-badenoch-vs-rorys-centrism/id1611374685?i=1000777740303,4sodvjI7Lo3iIs0JF2teAe,https://open.spotify.com/episode/4sodvjI7Lo3iIs0JF2teAe,556. The US-China AI Arms Race and Badenoch vs. Rory’s Centrism,restis
