key,name,cn_name,publisher,genre,track_count,first_date,spotify_id,status,reason_cn,desc_en,desc_cn,desc_official,apple_url,official_site
rih,The Rest Is History,其余皆为历史,Goalhanger,History,973,2020-10-28,7Cvsbcjhtur7nplC148TWy,G,历史顶流对谈；从中国史、冷战到科幻史都做，作者叙事强、信息密度高。,"Take a deep dive into History’s biggest moments with Tom Holland & Dominic Sandbrook. Explore the stories of History’s most brutal rulers, deadly battles, and world-changing events. From the rise and fall of the Roman Empire, the Nazi conquest of Europe, and Hitler’s evil master plan for world domination, to the French Revolution, the sinking of the Titanic, or the Norman Conquest of England in 1066, Tom and Dominic bring the past to life with gripping storytelling and expert analysis, as they unpack the high-drama moments that shaped our world. Join The Rest Is History Club: Unlock the full experience of the show – with exclusive bonus episodes, ad-free listening, early access",与汤姆·霍兰德、多米尼克·桑德布鲁克一起潜入历史最重要的瞬间：最残暴的统治者、最惨烈的战役与改变世界的事件——从罗马帝国的兴衰、纳粹的征服到冷战，还原权力、阴谋与灾难未被切碎的故事。,True,https://podcasts.apple.com/us/podcast/the-rest-is-history/id1537788786?uo=4,https://www.therestishistory.com/
rip,The Rest Is Politics,其余皆为政治,Goalhanger,Politics,646,2022-05-26,1Ysx8g1Iw42gESAtegrFaH,G,前工党幕僚长 × 前外交大臣的双视角时政拆解，全球议题与权力内幕。,"Alastair Campbell and Rory Stewart break down current affairs in the UK and abroad. The Rest Is Politics analyses the latest international news, provides debate on global issues, and reveals secrets from Westminster, whilst bringing back the lost art of disagreeing agreeably. With insider perspectives and expert analysis, The Rest Is Politics is the go-to podcast for anyone seeking intelligent, engaging discussions on British and global politics. The Rest Is Politics Plus: Join with a FREE TRIAL at therestispolitics.com for exclusive bonus content including Rory and Alastair’s first ever miniseries, early access to episodes and live show tickets, ad free listening, our exclusive newsletter,",阿拉斯泰尔·坎贝尔与罗里·斯图尔特拆解英国及全球时政：分析最新国际新闻、辩论全球议题、揭示威斯敏斯特内幕，并复兴一度失传的辩论艺术。,True,https://podcasts.apple.com/us/podcast/the-rest-is-politics/id1611374685?uo=4,https://www.therestispolitics.com/
ripus,The Rest Is Politics: US,其余皆为政治：美国版,Goalhanger,Politics,346,2024-04-23,1OY3nyGYqjIO4aWMW2feLy,G,白宫视角的美国政治镜像版，与主节目互补。,"TRIP US uncovers secrets from inside the White House inner circles as well as taking a wider look at the intricacies of United States society and how they shape the world's most important economy. The podcast is hosted by Anthony Scaramucci (The Mooch), former White House Director of Communications and Wall Street financier, and Katty Kay, US special correspondent for BBC who has been covering US politics for almost 30 years. Stay informed with in-depth discussions on key political events, policy changes, and the forces shaping America’s future on the global stage. New episodes released every Friday, or join our club for bonus content. Just head to https://therestispoliticsus.com t",（本节目 Spotify 官方简介）揭露白宫核心圈内幕，并俯瞰美国社会肌理与世界最重要经济体的运转。主持：安东尼·斯卡拉穆奇与凯蒂·凯。,True,https://podcasts.apple.com/us/podcast/the-rest-is-politics-us/id1743030473?uo=4,
riplead,The Rest Is Politics: Leading,其余皆为政治：领导者,Goalhanger,Politics,207,2023-01-13,0Z0KhuivFm1Ry4WIpWspPv,G,领导人主题长访谈：权力、人生与领导力哲学。,"The Rest Is Politics’ Alastair Campbell and Rory Stewart interview politicians, leaders, intellectuals, and more. From inside and outside of politics, guests join Rory and Alastair to discuss life, leadership, and the philosophy that’s led them to success in their chosen field. Their conversations cover key political events, global affairs, and the big ideas shaping the world today, offering listeners in-depth perspectives from those at the heart of change. The Rest Is Politics Plus: Become a member for exclusive bonus content, early access to Question Time episodes to live show tickets, ad-free listening for both TRIP and Leading, our exclusive newsletter, discount book prices on",《其余皆为政治》的延伸系列：坎贝尔与斯图尔特对话政治内外的领导人、知识分子等——从政治内部与外部，谈论人生、领导力，以及引领他们走到今日的那些哲学。,True,https://podcasts.apple.com/us/podcast/the-rest-is-politics-leading/id1665265193?uo=4,
rient,The Rest Is Entertainment,其余皆为娱乐,Goalhanger,TV & Film,391,2023-11-24,1mDl2B7a016YRXR2wSBy4T,G,影视/流媒体/奥斯卡产业内幕，聚会闲聊感十足的行业情报。,"Richard Osman & Marina Hyde share insider knowledge on TV, movies, and pop culture. Stay up to date on what's hot and what's not in entertainment with behind-the-scenes insights from Richard and Marina. As two of the most connected voices in the business, they provide a unique perspective on the latest television series, film releases, and cultural trends. Their podcast explores everything from media gossip to industry secrets, giving listeners the inside track on the world of showbiz. Whether you're a fan of gritty dramas, blockbuster movies, or celebrity news, this podcast is your ultimate guide to entertainment. Richard and Marina offer fresh, expert analysis on the latest hits, star",理查德·奥斯曼与玛丽娜·海德分享电视、电影与流行文化的内幕知识：什么正热、什么过气，来自两位圈内消息最灵通声音的幕后洞察。,True,https://podcasts.apple.com/us/podcast/the-rest-is-entertainment/id1718287198?uo=4,
rimoney,The Rest Is Money,其余皆为金钱,Goalhanger,Politics,307,2023-08-22,69DL3DIVIJZHpbSEzXs0Kc,G,宏观经济/AI 就业/住房/债务——财经硬话题的通俗拆解。,"Robert Peston and Steph McGovern bring you insightful business and finance stories. Join Robert Peston and Steph McGovern as they delve into the key challenges and opportunities facing today’s business world. From the complexities of tech investments to the impact of political decisions on global markets, this podcast offers valuable perspectives on current financial topics. Whether discussing business funding, economic policies, or corporate strategies, they provide listeners with the tools to understand today’s fast-evolving market. Each episode brings expert analysis on important issues, including market regulations, economic recovery, and the forces shaping the future of work. Robert and",罗伯特·佩斯顿与斯蒂芬·麦戈文带来精到的商业与金融故事：从科技投资到当下的关键挑战与机遇，拆解今天商业世界的复杂性。,True,https://podcasts.apple.com/us/podcast/the-rest-is-money/id1703785141?uo=4,
riclass,The Rest Is Classified,其余皆为机密,Goalhanger,History,271,2024-11-27,1Jn1HIW6I1AQnKVpsJHdEf,G,前 CIA 分析师 × 资深安全记者的真实谍报故事。,"Enter the secretive world of spies, espionage, and covert operations. Hosted by former CIA analyst turned spy novelist, David McCloskey, and veteran security correspondent, Gordon Corera, this podcast unravels real-life spy stories, intelligence secrets, and the hidden power struggles shaping global events. From Cold War espionage to modern-day intelligence agencies like the CIA, MI6, and Mossad, explore the world of double agents, classified missions, and the shadowy figures who operate in them. Whether you're a true crime addict, a thriller fan, or fascinated by spy stories, this is the show for you.",走进间谍、谍报与秘密行动的隐秘世界。曾任中情局分析师、现为间谍小说家的大卫·麦克洛斯基与资深安全记者戈登·科雷拉共同还原真实谍报故事与情报战。,True,https://podcasts.apple.com/us/podcast/the-rest-is-classified/id1780384916?uo=4,
blankcheck,Blank Check with Griffin & David,空白支票（Blank Check）,Blank Check Productions,Film Reviews,596,2015-10-01,4zmVd1CGeUCxAAMwGAwsFD,G,逐位导演全片单位长谈；作者论影迷的福音。,"Not just another bad movie podcast, Blank Check reviews directors' complete filmographies episode to episode. Specifically, the auteurs whose early successes afforded them the rare ‘blank check’ from Hollywood to produce passion projects. Each new miniseries, hosts Griffin Newman and David Sims delve into the works of film’s most outsized personalities in painstakingly hilarious detail. Produced by Ben Hosley.",不止是又一个烂片播客：Blank Check 一集集回顾导演的完整作品目录——尤其是那些早期成功换来好莱坞'空白支票'、得以拍摄心血之作的作者导演。每一档系列都深入一位影史最张扬创作者的全部作品。,True,https://podcasts.apple.com/us/podcast/blank-check-with-griffin-david/id981330533?uo=4,
filmcomment,The Film Comment Podcast,电影评论播客,Film Comment Magazine,TV & Film,597,2016-06-03,0Y9HVocBb0mYmuVLO8NahP,G,美国影评重刊官方播客，影评级深度。,"Founded in 1962, Film Comment has been the home of independent film journalism for over 50 years, publishing in-depth interviews, critical analysis, and feature coverage of mainstream, art-house, and avant-garde filmmaking from around the world. The Film Comment Podcast, hosted by editors Devika Girish and Clinton Krute, is a weekly space for critical conversation about film, with a look at topical issues, new releases, and the big picture. Film Comment is a nonprofit publication that relies on the support of readers. Support film culture. Support Film Comment.",1962 年创刊的《电影评论》五十余年来一直是独立电影写作的家园：深度访谈、批评分析与对全球主流、艺术电影及先锋电影的长篇报道；播客延续这份批判传统。,True,https://podcasts.apple.com/us/podcast/the-film-comment-podcast/id1051091555?uo=4,
purecinema,Pure Cinema Podcast,纯粹电影播客,Elric Kane & Brian Saur,TV & Film,272,2018-02-10,4xbAl28Rnh9la3khRm09lv,G,每周新片/老片/邪典/联映片单，补冷门利器。,"A weekly film podcast hosted by Elric Kane (of the Shock Waves podcast) and Brian Saur (of the Rupert Pupkin Speaks film blog) featuring discussions of new films, old films, double features, cult movies, filmmakers and movie lists among a smorgasbord of other Cinema-related things.",每周电影播客，由（Shock Waves 的）埃里克·凯恩与（Rupert Pupkin Speaks 影评博客的）布莱恩·绍尔主持：新片、老片、双片连映、邪典电影、影人与片单一应俱全。,True,https://podcasts.apple.com/us/podcast/pure-cinema-podcast/id1204885502?uo=4,
