disc,decade,papers,words,B1_weak_per10k,B2_mid_per10k,B3_strong_per10k,ep_hedge_per10k
bds,ALL,27,211858,4.3,11.75,19.26,52.58
hci,ALL,94,817868,4.03,7.52,17.59,61.57
soc,ALL,79,1105574,4.33,8.21,20.74,50.79
se,ALL,114,1166765,3.49,5.37,15.47,44.33
dourish,ALL,21,407666,3.51,18.79,20.61,60.15
bds,2010s,9,75855,5.67,12.92,25.18,53.26
bds,2020s,1,4052,0.0,0.0,7.4,49.36
hci,2000s,5,29301,1.02,7.85,20.14,73.04
hci,2010s,16,136549,3.95,8.28,18.97,58.73
hci,2020s,6,61045,5.41,3.44,21.62,48.49
soc,1970s,1,13019,2.3,13.06,28.42,45.32
soc,1980s,1,16374,1.83,12.21,28.7,32.98
soc,2000s,13,209243,4.68,9.99,21.12,55.1
soc,2010s,7,99140,2.72,5.65,18.16,35.71
soc,2020s,5,64543,5.42,7.28,16.58,56.09
se,2000s,15,146640,3.82,5.52,15.21,36.96
se,2010s,26,301393,2.89,5.21,14.9,43.3
se,2020s,6,81307,2.46,3.69,18.45,46.49
